Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer_Part_Number~String~Manufacturer_Part_Number~100|Field=Model~String~Model~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EndDevice.PrjPcb|ReportField=ProjectFullPath~D:\oleg\scris\utm\Proiect_de_diploma\Repositorie\LORA-LoraWan-STM32-Esp8266\HW\EndDevice_STM32L072CB_RA_02\EndDevice\EndDevice.PrjPcb|ReportField=Title~Bill of Materials For Project [EndDevice.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~53|ReportField=ReportTime~21:29:51|ReportField=ReportDate~29.04.2020|ReportField=ReportDateTime~29.04.2020 21:29:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~29.04.2020|ReportField=CurrentTime~21:27:08|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\oleg\scris\utm\Proiect_de_diploma\Repositorie\LORA-LoraWan-STM32-Esp8266\HW\EndDevice_STM32L072CB_RA_02\EndDevice\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~29.04.2020|ReportField=Organization~|ReportField=ProjectName~EndDevice.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EndDevice.PrjPcb|ReportField=DataSourceFullPath~D:\oleg\scris\utm\Proiect_de_diploma\Repositorie\LORA-LoraWan-STM32-Esp8266\HW\EndDevice_STM32L072CB_RA_02\EndDevice\EndDevice.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
32|47k||R15|R0603|Resistor||RC0603FR-0747KL|1|47k
33|0||R16|R0603|Resistor||CRCW06030000Z0EAC|1|0
34|10||R17|R0603|Resistor||CRCW060310R0FKEAC|1|10
35|10||R18|R0603|Resistor||CRCW060310R0FKEAC|1|10
36|10||R19|R0603|Resistor||CRCW060310R0FKEAC|1|10
37|10||R20|R0603|Resistor||CRCW060310R0FKEAC|1|10
38|10||R21|R0603|Resistor||CRCW060310R0FKEAC|1|10
39|0||R22|R0603|Resistor||CRCW06030000Z0EAC|1|0
40|47k||R23|R0603|Resistor||RC0603FR-0747KL|1|47k
41|10M||R24|R0603|Resistor||CRCW060310M0JNEAC|1|10M
42|PTS636_SL43_LFS|Switch|S1|PTS636SL43LFS|PTS636_SL43_LFS|PTS636 SL43 LFS|PTS636 SL43 LFS|1|
43|FSMRA6JH|Switch|S2|FSMRA6JH|FSMRA6JH|FSMRA6JH|FSMRA6JH|1|
44|NSVR0320MW2T1G|Diode|VD1|SOD2512X110N|NSVR0320MW2T1G|NSVR0320MW2T1G|NSVR0320MW2T1G|1|
45|ESD9B5.0ST5G|Diode|VD2|SODFL1006X40N|ESD9B5.0ST5G|ESD9B5.0ST5G|ESD9B5.0ST5G|1|
46|ESD9B5.0ST5G|Diode|VD3|SODFL1006X40N|ESD9B5.0ST5G|ESD9B5.0ST5G|ESD9B5.0ST5G|1|
47|ESD9B5.0ST5G|Diode|VD4|SODFL1006X40N|ESD9B5.0ST5G|ESD9B5.0ST5G|ESD9B5.0ST5G|1|
48|ESD9B5.0ST5G|Diode|VD5|SODFL1006X40N|ESD9B5.0ST5G|ESD9B5.0ST5G|ESD9B5.0ST5G|1|
49|Value||X1|HDRV1W64P254_1X4_254X241X838P|Connector||1776275-4|1|
50|Connector_2||X2|Pad_Connector_2|Connector_2|||1|
51|||X3|Conector|Connector||1776275-4|1|
52|8MHz|Crystal or Oscillator|ZQ1|ABM38000MHzD2YT|ABM3-8.000MHZ-B4Y-T|ABM3-8.000MHZ-B4Y-T|ABM3-8.000MHZ-B4Y-T|1|
53|32.768k|Crystal or Oscillator|ZQ2|CM7VT1A32768kHz125pF10PPMTBQC|CM7V-T1A-32.768k-9pF-20PPM-TA-QA_T3|CM7V-T1A-32.768k-9pF-20PPM-TA-QA T3|CM7V-T1A-32.768k-9pF-20PPM-TA-QA T3|1|
